Id,StartTime,Duration,StartVerticalPosition,VerticalSize,PeakVerticalVelocity,PeakVerticalAcceleration,StartHorizontalPosition,HorizontalSize,StraightnessError,Slant,LoopSurface,label
101-300,2.293,2.854,2.122,4.488,2.976,5.976,3.512,3.439,2.854,2.293,1.024,1
101-301,3.146,3.188,3.281,3.885,4.104,6.146,2.385,8.021,2.938,3.208,1.01,1
101-302,2.209,2.837,2.628,3.442,3.721,11.14,2,6.209,2.488,2.256,1.023,1
101-303,2.444,2.704,2.185,4,4.926,7.352,2.685,6,2.278,3.074,1.019,0
101-304,3.535,3.039,5.803,6.126,14.181,16.031,4.213,5.646,2.717,3.386,1.008,0
101-305,3.671,3.288,3.658,6.767,5.397,5.288,2.849,8.411,2.658,2.849,1.014,1
101-306,2.634,3.366,6.134,3.976,4.244,28.402,2.524,10.11,2.768,3.317,1.012,0
101-307,3.258,3.621,2.652,3.136,3.758,11.091,3.136,3.152,3.227,2.97,1.015,0
102-300,3.365,4.045,3.846,5.276,3.994,97.859,3.301,10.038,4.115,3.821,1.006,1
102-301,3.156,2.333,9.133,9.8,13.311,12.378,2.844,5.533,1.778,2.711,1.022,0
103-300,2.616,2.818,5.485,6.364,4.303,3.798,2.566,7.232,2.576,3.121,1.01,0
103-301,2.571,1.857,11.905,6.048,2.333,2,5.143,4.429,1.905,2.381,1.048,0
103-302,1.7,2.5,19.05,2.9,1.95,2.85,2.7,4.15,1.7,2.25,73.9,0
103-303,2.791,3.505,2.385,4.495,4.011,4.868,3.352,5.802,2.352,3,1.011,0
103-304,2.656,2.281,2.844,3.938,2.312,4.156,2.344,2.625,2.594,2.688,4483.438,1
103-305,2.358,3.448,17.955,3.791,4.284,6.612,2.493,6.925,2.597,3,4253.522,0
103-306,2.706,4.979,4.923,6.042,4.35,45.986,2.636,7.224,2.811,3.692,1922.091,0
104-300,3.084,4.295,3.116,3.621,3.253,3.4,4.758,8.147,3.568,2.863,628.853,1
104-301,2.545,2.848,2.182,2.758,1.758,6.091,2.939,3.212,2.061,1.909,1.03,1
104-302,2.723,3.883,3.436,4.394,4.564,4.84,4.851,9.362,2.649,3.011,1.011,0
104-303,3.442,4.525,3.85,5.233,5.7,17.542,3.792,8.033,3.3,3.5,389.45,0
104-304,2.487,2.846,5.885,4.359,3.962,8.077,2.897,5.974,2.705,2.872,1.013,0
104-305,1.533,2.333,1.8,1.933,2.4,2,2.267,4.4,2.133,1.533,1.067,0
105-300,2.136,2.045,2.182,4.227,4,3.818,1.591,3.591,1.909,2.364,1.045,0
105-301,2.714,2.238,2,3.238,2.095,2.524,1.571,9.238,1.905,1.905,1.048,0
105-302,1.8,1.9,2.2,1.7,2.3,2,1.5,2.9,2.4,1.6,994.5,1
105-303,2.067,2.2,2.8,1.933,2.8,2.4,2.333,2,2,1.533,1.067,0
104-401,2,2.077,2.385,2.154,2,2.538,2.538,2.308,2.077,1.846,1.077,0
104-402,3.405,3.932,5.297,5.514,3.466,23.453,3.527,5.601,2.973,3.527,1.007,1
104-403,2.794,3.468,4.444,6.214,8.079,8.254,3.619,8.913,3.325,3.571,349.278,0
104-404,2.778,1.889,2.556,1.778,2.667,3.333,5.778,5.778,1.778,1.889,1.111,0
104-405,2.125,1.917,1.708,2.333,2.625,4.667,2.542,3.5,1.958,1.875,1.042,0
104-406,2,1.75,1.25,1.25,2,2,2.5,2.25,2.5,1.75,2,0
104-407,1.8,2.444,7.089,2.578,2.022,2.311,2.289,3.622,3.067,2.311,158.289,0
104-408,2.065,2.652,3.913,3.239,2.261,2.543,2.826,6.348,2.478,2.739,1.022,0
104-409,2.933,3.606,2.702,5.538,5.173,22.423,3.587,5.808,2.769,3.51,1.01,0
102-400,2.933,3.606,2.702,5.538,5.173,22.423,3.587,5.808,2.769,3.51,1.01,0
102-401,1.864,2.455,3.409,2,2.636,1.864,2.409,4.136,2.091,2.045,172.455,0
102-402,3.371,3.155,2.082,5.082,8.876,16.258,2.619,10.495,2.856,3.464,1.01,0
102-403,3.577,4.185,5.815,4.746,4.562,6.685,2.469,8.231,3.823,3.423,1.008,0
102-404,2.916,4.486,2.72,6.402,3.869,5.832,3.206,7.056,2.757,3.43,1.009,0
102-405,2.903,3.065,2.645,2.968,3.032,1.871,1.742,4.226,2.097,2.065,1.032,1
104-400,3.145,3.987,4.566,3.053,3.276,139.632,3.355,4.895,3.25,2.974,1.013,0
103-400,2.798,3.223,8.138,4.117,2.947,2.904,3.043,6.979,2.862,4.181,1.011,0
103-401,3.676,3.991,3.333,7.288,7.393,8.571,3.603,8.21,3.47,3.763,1.005,0
103-402,3.7,5.3,2.525,6.327,5.848,12.839,3.88,8.295,3.659,4.166,1.005,0
103-403,2.444,4.283,25.263,15.737,6.061,7.313,2.909,7.859,2.677,3.646,1.01,0
103-404,2.725,4.463,22.987,5.02,4.765,17.738,2.45,9.134,2.826,3.812,1.007,0
103-405,2.701,3.635,1.861,4.474,3.971,9.803,3,9.058,2.832,3.095,1.007,1
101-400,3.336,3.017,7.866,7.815,4.588,4.244,4.361,10.471,3.303,3.294,1.008,0
101-401,3.087,3.262,5.786,3.816,4.874,124.233,2.398,4.602,2.971,3.544,1.01,0
101-402,2.975,3.333,2.21,4.938,6.864,14.605,2.58,5.494,2.852,3.123,1.012,0
101-403,2.024,2.488,2.293,4.878,2.927,3.317,2.878,2.415,2.22,2.415,1.024,0
105-400,1.444,1.778,1.444,1.778,1.778,2.222,1.778,2,1.778,1.778,1.111,0
105-401,1.5,2.333,1.5,2.167,1.5,1.5,1.667,1.5,1.833,1.5,2,0
105-402,1.4,4.4,1.8,1.6,1.2,1.2,1.2,1.6,3.2,1.6,2,0
105-403,1.85,2.5,2.35,3.75,2.55,2.5,1.75,3,2.2,2,677.2,0
105-404,1.688,2,1.75,3.625,2.938,2.75,1.375,2.688,1.875,2.062,2,0
105-405,2.759,2.034,2.034,5,2.897,6.724,2.828,6.414,1.793,1.931,1.034,0
105-406,1.812,2.688,3.062,2.938,2.875,3.75,2.25,2.938,1.688,2,88.938,0
105-407,1.909,2.273,1.818,1.636,1.636,1.636,1.545,2.364,1.818,1.636,2,0
105-408,2,2,2,2,2,2,2,2,2,2,2,1
105-409,1.5,1.75,3.125,3.625,3.125,3,1.75,1.625,1.625,1.625,1.125,0
105-410,1.5,1.833,1.833,1.667,1.833,1.833,1.667,1.5,1.833,1.833,1.167,0
101-500,1.5,1.833,1.833,1.833,1.833,1.833,2,1.667,1.833,1.833,2,0
101-501,1.5,1.833,1.833,1.833,1.833,1.833,1.667,1.5,1.833,1.833,2,0
101-502,1.25,2,1.75,1.75,1.25,1.75,1.75,1.25,1.75,1.25,2,0
101-503,1.375,1.625,3.125,2.625,2,1.625,1.625,2.375,2.375,1.625,2.375,0
101-504,1.571,1.714,2.571,2.143,1.571,1.714,1.571,2,1.714,1.571,2,0
102-500,2.15,1.75,2.8,2.6,2.25,3.55,1.5,2.15,1.8,2,1.05,0
105-500,1.6,3.2,6.6,1.8,1.8,1.8,1.2,1.8,2.6,1.8,2,0
105-501,1.833,1.833,1.833,1.5,1.667,1.667,1.667,2.333,1.833,1.667,2,0
105-502,1.25,1.5,2.25,1.25,1.25,1.25,1.25,2.5,1.75,1.25,2,0
105-503,1.5,1.833,1.833,1.833,1.833,1.833,1.167,2.667,1.833,1.833,2,0
105-504,1.25,2,2.25,1.25,1.75,1.25,1.25,2,1.75,1.25,2,0
105-505,2.556,2,2.481,4.815,3.519,2.481,2.963,2.889,1.593,2.593,1.037,0
105-506,1.778,1.556,1.778,1.667,2.111,2.333,1.556,2.333,2.444,1.667,652.333,0
105-507,1.5,1.667,1.833,1.5,1.833,1.833,1.667,3.5,1.833,1.833,2,0
105-508,2.543,2.257,3.029,4.743,4.086,5.486,2.743,3.914,2,2.686,1.029,0
105-509,1.667,2,1.667,2,2,2,2,1.667,2,2,2,0
105-510,1.571,1.714,2.571,1.714,2.143,2,1.714,2.143,1.714,1.714,2,0
105-511,1.625,1.875,5.125,1.75,2.5,1.75,1.75,1.875,2.5,1.75,2,0
